date,campaign_name,channel,segment,impressions,clicks,conversions,spend,revenue,orders
2024-12-09,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,125279,3169,84,2060.43,7714.41,84
2024-12-09,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,43118,1724,107,1414.17,11542.94,107
2024-12-09,Product_Launch_Awareness,Facebook_Ads,New_Customers,96975,2205,38,1544.07,3371.63,38
2024-12-09,Brand_Search,Google_Ads,New_Customers,15628,775,95,813.82,9750.01,95
2024-12-09,Shopping_Campaigns,Google_Ads,New_Customers,77393,1917,57,1629.03,5306.69,57
2024-12-09,Dynamic_Remarketing,Google_Ads,Retargeting,36298,1366,71,1297.63,7856.04,71
2024-12-09,Influencer_Collab_Video,TikTok_Ads,New_Customers,244182,4983,47,2890.61,4057.74,47
2024-12-09,UGC_Content_Campaign,TikTok_Ads,New_Customers,208784,3839,45,2380.65,4104.67,45
2024-12-09,Weekly_Newsletter,Email,Loyalty,,14001,297,279.3,29050.54,297
2024-12-09,Abandoned_Cart_Sequence,Email,Retargeting,,2462,84,24.37,9633.95,84
2024-12-10,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,130163,3293,87,2140.76,8015.15,87
2024-12-10,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,39463,1578,98,1294.29,10564.44,98
2024-12-10,Product_Launch_Awareness,Facebook_Ads,New_Customers,98898,2248,39,1574.69,3438.51,39
2024-12-10,Brand_Search,Google_Ads,New_Customers,17410,863,106,906.65,10862.09,106
2024-12-10,Shopping_Campaigns,Google_Ads,New_Customers,93584,2318,69,1969.82,6416.83,69
2024-12-10,Dynamic_Remarketing,Google_Ads,Retargeting,39271,1478,76,1403.91,8499.46,76
2024-12-10,Influencer_Collab_Video,TikTok_Ads,New_Customers,290292,5924,56,3436.45,4823.97,56
2024-12-10,UGC_Content_Campaign,TikTok_Ads,New_Customers,218783,4023,47,2494.66,4301.25,47
2024-12-10,Weekly_Newsletter,Email,Loyalty,,11265,239,224.73,23374.21,239
2024-12-10,Abandoned_Cart_Sequence,Email,Retargeting,,2466,84,24.41,9647.44,84
2024-12-11,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,141306,3575,94,2324.03,8701.33,94
2024-12-11,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,43932,1756,109,1440.86,11760.85,109
2024-12-11,Product_Launch_Awareness,Facebook_Ads,New_Customers,86612,1969,34,1379.06,3011.33,34
2024-12-11,Brand_Search,Google_Ads,New_Customers,14422,715,87,751.06,8998.08,87
2024-12-11,Shopping_Campaigns,Google_Ads,New_Customers,80728,1999,59,1699.22,5535.35,59
2024-12-11,Dynamic_Remarketing,Google_Ads,Retargeting,41764,1571,81,1493.05,9039.09,81
2024-12-11,Influencer_Collab_Video,TikTok_Ads,New_Customers,288988,5898,56,3421.01,4802.29,56
2024-12-11,UGC_Content_Campaign,TikTok_Ads,New_Customers,179785,3306,39,2049.99,3534.55,39
2024-12-11,Weekly_Newsletter,Email,Loyalty,,11140,237,222.24,23115.38,237
2024-12-11,Abandoned_Cart_Sequence,Email,Retargeting,,2121,72,21.0,8298.95,72
2024-12-12,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,138154,3495,92,2272.19,8507.24,92
2024-12-12,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,46835,1873,117,1536.08,12538.07,117
2024-12-12,Product_Launch_Awareness,Facebook_Ads,New_Customers,95435,2170,37,1519.55,3318.1,37
2024-12-12,Brand_Search,Google_Ads,New_Customers,15136,750,92,788.21,9443.2,92
2024-12-12,Shopping_Campaigns,Google_Ads,New_Customers,79650,1973,58,1676.54,5461.45,58
2024-12-12,Dynamic_Remarketing,Google_Ads,Retargeting,37349,1405,73,1335.19,8083.42,73
2024-12-12,Influencer_Collab_Video,TikTok_Ads,New_Customers,242963,4958,47,2876.18,4037.48,47
2024-12-12,UGC_Content_Campaign,TikTok_Ads,New_Customers,220333,4051,48,2512.33,4331.72,48
2024-12-12,Weekly_Newsletter,Email,Loyalty,,11610,247,231.6,24089.32,247
2024-12-12,Abandoned_Cart_Sequence,Email,Retargeting,,2519,86,24.93,9854.54,86
2024-12-13,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,135879,3437,91,2234.76,8367.13,91
2024-12-13,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,47489,1899,118,1557.52,12713.06,118
2024-12-13,Product_Launch_Awareness,Facebook_Ads,New_Customers,107190,2437,42,1706.72,3726.8,42
2024-12-13,Brand_Search,Google_Ads,New_Customers,14369,712,87,748.26,8964.53,87
2024-12-13,Shopping_Campaigns,Google_Ads,New_Customers,80218,1987,59,1688.49,5500.4,59
2024-12-13,Dynamic_Remarketing,Google_Ads,Retargeting,45113,1697,88,1612.75,9763.79,88
2024-12-13,Influencer_Collab_Video,TikTok_Ads,New_Customers,246206,5025,48,2914.57,4091.37,48
2024-12-13,UGC_Content_Campaign,TikTok_Ads,New_Customers,196720,3617,42,2243.09,3867.49,42
2024-12-13,Weekly_Newsletter,Email,Loyalty,,12441,264,248.19,25814.6,264
2024-12-13,Abandoned_Cart_Sequence,Email,Retargeting,,2239,76,22.16,8759.47,76
2024-12-14,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,122502,3099,82,2014.76,7543.44,82
2024-12-14,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,51535,2060,128,1690.24,13796.31,128
2024-12-14,Product_Launch_Awareness,Facebook_Ads,New_Customers,108171,2459,42,1722.33,3760.89,42
2024-12-14,Brand_Search,Google_Ads,New_Customers,16865,836,102,878.28,10522.21,102
2024-12-14,Shopping_Campaigns,Google_Ads,New_Customers,97118,2405,71,2044.21,6659.16,71
2024-12-14,Dynamic_Remarketing,Google_Ads,Retargeting,36580,1376,71,1307.7,7916.99,71
2024-12-14,Influencer_Collab_Video,TikTok_Ads,New_Customers,288459,5887,56,3414.75,4793.5,56
2024-12-14,UGC_Content_Campaign,TikTok_Ads,New_Customers,198824,3656,43,2267.07,3908.85,43
2024-12-14,Weekly_Newsletter,Email,Loyalty,,12218,259,243.75,25352.37,259
2024-12-14,Abandoned_Cart_Sequence,Email,Retargeting,,1997,68,19.77,7814.03,68
2024-12-15,Holiday_Sale_Prospecting,Facebook_Ads,New_Customers,148254,3750,99,2438.3,9129.18,99
2024-12-15,Holiday_Sale_Retargeting,Facebook_Ads,Retargeting,39875,1594,99,1307.8,10674.73,99
2024-12-15,Product_Launch_Awareness,Facebook_Ads,New_Customers,94547,2150,37,1505.4,3287.21,37
2024-12-15,Brand_Search,Google_Ads,New_Customers,17314,858,105,901.63,10801.97,105
2024-12-15,Shopping_Campaigns,Google_Ads,New_Customers,77732,1925,57,1636.15,5329.89,57
2024-12-15,Dynamic_Remarketing,Google_Ads,Retargeting,44838,1687,87,1602.91,9704.22,87
2024-12-15,Influencer_Collab_Video,TikTok_Ads,New_Customers,255412,5212,50,3023.54,4244.34,50
2024-12-15,UGC_Content_Campaign,TikTok_Ads,New_Customers,180494,3319,39,2058.07,3548.49,39
2024-12-15,Weekly_Newsletter,Email,Loyalty,,11379,242,227.0,23610.74,242
2024-12-15,Abandoned_Cart_Sequence,Email,Retargeting,,2355,80,23.31,9214.99,80
